NeighborhoodName,City,State,CountyName,2019-1,2019-2,2019-3,2019-04,2019-05,2019-06
Mission District,San Francisco,CA,San Francisco,3300,3250,3295,3500,3495,3450
Downtown,San Francisco,CA,San Francisco,2900,3010,3100,3050,3105,3150
Pacific Heights,San Francisco,CA,San Francisco,3600,3620,3610,3705,3723,3751
Nob Hill,San Francisco,CA,San Francisco,2902,2803,2850,2841,2863,2796
South of Market,San Francisco,CA,San Francisco,3620,3810,3830,3796,3754,3750
Russian Hill,San Francisco,CA,San Francisco,3600,3550,3460,3604,3508,3474
Hayes Valley,San Francisco,CA,San Francisco,3965,4302,4008,4120,4250,4260
Marina,San Francisco,CA,San Francisco,3400,3368,3375,3458,3691,3500
Lower Pacific Heights,San Francisco,CA,San Francisco,3364,3341,3487,3498,3399,3395
South Beach,San Francisco,CA,San Francisco,3900,4000,3950,3989,4050,4021
Van Ness - Civic Center,San Francisco,CA,San Francisco,3300,3365,3700,3800,3756,3784
Mission Bay,San Francisco,CA,San Francisco,3890,3848,4032,4089,4123,4152
Yerba Buena Gardens,San Francisco,CA,San Francisco,3600,3752,3768,3780,3695,3744
